timestamp,cycle,furcations_count,scales,complexities
2026-04-06T03:26:28.441384,7,1,1.0,4
2026-04-06T03:26:28.607381,10,1,1.0,4
2026-04-06T03:26:29.065385,17,1,1.0,2
2026-04-06T03:26:29.283381,20,3,1.0;1.0;1.0,4;2;3
2026-04-06T03:26:29.804386,27,1,1.0,3
2026-04-06T03:26:30.960385,44,1,1.0,2
2026-04-06T03:26:31.261386,48,1,1.0,4
2026-04-06T03:26:31.946388,57,2,1.0;1.0,1;2
2026-04-06T03:26:32.637388,66,1,1.0,1
2026-04-06T03:26:32.782387,68,1,1.0,2
2026-04-06T03:26:34.049382,85,1,1.0,3
2026-04-06T03:26:36.181385,114,2,1.0;1.0,2;3
2026-04-06T03:26:36.483383,118,2,1.0;1.0,2;3
2026-04-06T03:26:36.710384,121,1,1.0,1
2026-04-06T03:26:37.748386,135,1,1.0,3
2026-04-06T03:26:39.004383,151,1,1.0,2
2026-04-06T03:26:39.673384,160,2,1.0;1.0,3;2
2026-04-06T03:26:41.065383,179,2,1.0;1.0,2;4
2026-04-06T03:26:42.932384,205,1,1.0,1
2026-04-06T03:26:44.730383,230,2,1.0;1.0,1;4
2026-04-06T03:26:45.157383,236,2,1.0;1.0,4;4
2026-04-06T03:26:45.624384,242,1,1.0,2
2026-04-06T03:26:46.731388,256,1,1.0,2
2026-04-06T03:26:47.126385,261,1,1.0,2
2026-04-06T03:26:47.606387,267,2,1.0;1.0,3;2
2026-04-06T03:26:49.331381,289,1,1.0,3
2026-04-06T03:26:49.917385,296,1,1.0,2
2026-04-06T03:26:50.218383,299,1,1.0,4
2026-04-06T03:26:51.246388,311,1,1.0,4
2026-04-06T03:26:51.358388,313,1,1.0,2
2026-04-06T03:26:51.478388,315,1,1.0,2
2026-04-06T03:26:52.438389,328,2,1.0;1.0,4;2
2026-04-06T03:26:52.695386,332,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:26:53.261388,341,1,1.0,2
2026-04-06T03:26:54.965390,363,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:26:57.830381,400,1,1.0,1
2026-04-06T03:26:58.366389,407,2,1.0;1.0,3;3
2026-04-06T03:27:01.037389,443,1,1.0,1
2026-04-06T03:27:05.467386,501,2,1.0;1.0,3;4
2026-04-06T03:27:05.766386,505,1,1.0,3
2026-04-06T03:27:06.228389,511,2,1.0;1.0,2;4
2026-04-06T03:27:06.985387,523,3,1.0;1.0;1.0,2;3;3
2026-04-06T03:27:07.066388,524,1,1.0,3
2026-04-06T03:27:08.979381,550,2,1.0;1.0,3;2
2026-04-06T03:27:10.079384,566,1,1.0,4
2026-04-06T03:27:10.681385,574,2,1.0;1.0,2;3
