timestamp,cycle,furcations_count,scales,complexities
2026-04-06T03:08:24.023388,10,1,1.0,1
2026-04-06T03:08:27.046387,54,3,1.0;1.0;1.0,4;2;3
2026-04-06T03:08:27.180382,56,1,1.0,3
2026-04-06T03:08:28.259388,72,1,1.0,3
2026-04-06T03:08:28.327388,73,1,1.0,1
2026-04-06T03:08:29.719387,93,3,1.0;1.0;1.0,4;4;4
2026-04-06T03:08:30.497387,105,2,1.0;1.0,3;4
2026-04-06T03:08:31.958381,126,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:08:34.182385,160,1,1.0,2
2026-04-06T03:08:36.350391,194,2,1.0;1.0,1;3
2026-04-06T03:08:36.807386,201,2,1.0;1.0,4;4
2026-04-06T03:08:37.950387,218,2,1.0;1.0,3;1
2026-04-06T03:08:38.210387,222,1,1.0,2
2026-04-06T03:08:38.411386,225,1,1.0,2
2026-04-06T03:08:38.745382,230,1,1.0,4
2026-04-06T03:08:38.820386,231,1,1.0,1
2026-04-06T03:08:40.308383,253,1,1.0,2
2026-04-06T03:08:42.845383,290,1,1.0,1
2026-04-06T03:08:42.979386,292,1,1.0,1
2026-04-06T03:08:43.856386,305,2,1.0;1.0,2;2
2026-04-06T03:08:45.820387,335,1,1.0,3
2026-04-06T03:08:46.265388,342,1,1.0,4
2026-04-06T03:08:47.625387,362,1,1.0,2
2026-04-06T03:08:47.762387,364,1,1.0,4
2026-04-06T03:08:48.716382,378,1,1.0,2
2026-04-06T03:08:49.425387,389,1,1.0,3
2026-04-06T03:08:50.980388,412,1,1.0,2
2026-04-06T03:08:51.199387,416,1,1.0,3
2026-04-06T03:08:52.734386,444,2,1.0;1.0,2;3
2026-04-06T03:08:52.947391,448,1,1.0,3
2026-04-06T03:08:53.050387,450,2,1.0;1.0,4;2
2026-04-06T03:08:55.612385,490,2,1.0;1.0,4;3
2026-04-06T03:08:56.154385,498,1,1.0,3
2026-04-06T03:08:56.490387,503,1,1.0,4
2026-04-06T03:08:56.756385,507,1,1.0,2
2026-04-06T03:08:58.355387,531,1,1.0,2
2026-04-06T03:08:58.811385,537,2,1.0;1.0,3;4
2026-04-06T03:08:58.993385,538,1,1.0,4
2026-04-06T03:08:59.678384,545,1,1.0,1
2026-04-06T03:09:00.126386,551,1,1.0,4
2026-04-06T03:09:00.334383,554,1,1.0,3
2026-04-06T03:09:01.668387,571,1,1.0,1
2026-04-06T03:09:04.118387,600,2,1.0;1.0,2;4
2026-04-06T03:09:04.633386,606,1,1.0,3
2026-04-06T03:09:05.851386,619,2,1.0;1.0,2;4
2026-04-06T03:09:06.384386,625,3,1.0;1.0;1.0,2;2;1
2026-04-06T03:09:09.899386,665,2,1.0;1.0,3;2
2026-04-06T03:09:10.642382,674,2,1.0;1.0,2;4
2026-04-06T03:09:10.808389,676,1,1.0,2
2026-04-06T03:09:12.609388,697,1,1.0,2
2026-04-06T03:09:17.840388,760,1,1.0,2
2026-04-06T03:09:17.922389,761,1,1.0,2
2026-04-06T03:09:18.081382,763,1,1.0,3
2026-04-06T03:09:18.861387,773,2,1.0;1.0,2;4
2026-04-06T03:09:20.706383,795,2,1.0;1.0,3;2
2026-04-06T03:09:21.647387,806,2,1.0;1.0,2;4
2026-04-06T03:09:21.816388,808,2,1.0;1.0,2;3
2026-04-06T03:09:23.444381,828,1,1.0,3
2026-04-06T03:09:24.415387,840,1,1.0,3
2026-04-06T03:09:26.241387,861,1,1.0,3
2026-04-06T03:09:26.654387,866,3,1.0;1.0;1.0,1;2;3
2026-04-06T03:09:30.626385,912,1,1.0,4
2026-04-06T03:09:31.142384,918,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:09:31.578382,923,1,1.0,3
2026-04-06T03:09:31.749388,925,1,1.0,2
2026-04-06T03:09:32.172389,929,1,1.0,2
2026-04-06T03:09:33.181387,940,1,1.0,3
2026-04-06T03:09:33.856388,948,1,1.0,3
2026-04-06T03:09:34.025386,950,1,1.0,3
2026-04-06T03:09:34.787389,959,2,1.0;1.0,3;2
2026-04-06T03:09:35.033388,962,3,1.0;1.0;1.0,3;4;2
2026-04-06T03:09:35.612386,969,3,1.0;1.0;1.0,1;2;2
2026-04-06T03:09:36.363385,978,1,1.0,2
2026-04-06T03:09:36.948382,985,1,1.0,2
2026-04-06T03:09:38.739388,1005,2,1.0;1.0,4;3
2026-04-06T03:09:39.939384,1019,1,1.0,2
2026-04-06T03:09:40.899382,1030,1,1.0,3
2026-04-06T03:09:41.681383,1039,1,1.0,3
2026-04-06T03:09:42.457386,1046,3,1.0;1.0;1.0,3;3;2
2026-04-06T03:09:42.542386,1047,1,1.0,2
2026-04-06T03:09:42.877382,1051,1,1.0,3
2026-04-06T03:09:46.266381,1093,1,1.0,3
2026-04-06T03:09:47.160387,1104,1,1.0,3
2026-04-06T03:09:49.488387,1133,2,1.0;1.0,2;2
2026-04-06T03:09:51.239386,1153,1,1.0,3
2026-04-06T03:09:52.270385,1166,1,1.0,4
2026-04-06T03:09:55.131389,1201,1,1.0,2
2026-04-06T03:09:56.471387,1218,1,1.0,4
2026-04-06T03:09:57.340388,1229,1,1.0,4
2026-04-06T03:09:57.580382,1232,1,1.0,2
2026-04-06T03:10:01.036388,1275,1,1.0,2
2026-04-06T03:10:03.426388,1304,1,1.0,3
2026-04-06T03:10:05.862381,1335,3,1.0;1.0;1.0,1;2;3
2026-04-06T03:10:06.513389,1343,1,1.0,3
2026-04-06T03:10:06.580386,1344,1,1.0,4
2026-04-06T03:10:07.873388,1360,1,1.0,4
2026-04-06T03:10:09.067388,1374,2,1.0;1.0,3;2
2026-04-06T03:10:11.362386,1402,2,1.0;1.0,3;2
2026-04-06T03:10:11.985381,1410,1,1.0,2
2026-04-06T03:10:15.611388,1450,2,1.0;1.0,1;3
2026-04-06T03:10:15.999388,1455,1,1.0,3
2026-04-06T03:10:17.898387,1478,3,1.0;1.0;1.0,4;4;4
2026-04-06T03:10:19.145384,1493,1,1.0,4
2026-04-06T03:10:20.061383,1504,1,1.0,1
2026-04-06T03:10:20.471388,1509,1,1.0,2
2026-04-06T03:10:21.599382,1523,1,1.0,2
2026-04-06T03:10:24.322387,1557,1,1.0,3
2026-04-06T03:10:24.399385,1558,1,1.0,3
2026-04-06T03:10:24.731386,1562,2,1.0;1.0,4;3
2026-04-06T03:10:25.720387,1574,1,1.0,2
2026-04-06T03:10:26.265381,1581,1,1.0,2
2026-04-06T03:10:27.615390,1598,1,1.0,1
2026-04-06T03:10:28.763387,1611,2,1.0;1.0,2;3
2026-04-06T03:10:31.506385,1644,2,1.0;1.0,2;3
2026-04-06T03:10:32.000386,1650,1,1.0,3
2026-04-06T03:10:33.591384,1669,1,1.0,2
2026-04-06T03:10:34.671382,1682,1,1.0,2
2026-04-06T03:10:35.139386,1688,1,1.0,1
2026-04-06T03:10:36.672388,1707,3,1.0;1.0;1.0,3;4;3
2026-04-06T03:10:36.988389,1711,2,1.0;1.0,2;3
2026-04-06T03:10:37.539388,1718,2,1.0;1.0,2;2
2026-04-06T03:10:39.006382,1736,2,1.0;1.0,1;2
2026-04-06T03:10:39.634384,1744,1,1.0,3
2026-04-06T03:10:43.876384,1795,1,1.0,4
2026-04-06T03:10:45.296386,1813,1,1.0,2
2026-04-06T03:10:46.451383,1827,2,1.0;1.0,2;2
2026-04-06T03:10:50.014381,1871,1,1.0,3
2026-04-06T03:10:50.493385,1877,2,1.0;1.0,2;1
2026-04-06T03:10:51.711388,1892,2,1.0;1.0,3;4
2026-04-06T03:10:52.608390,1903,3,1.0;1.0;1.0,3;4;2
2026-04-06T03:10:54.573386,1927,1,1.0,2
2026-04-06T03:10:54.972387,1932,1,1.0,2
2026-04-06T03:10:55.054386,1933,1,1.0,2
2026-04-06T03:10:59.526386,1989,1,1.0,3
2026-04-06T03:10:59.684382,1991,2,1.0;1.0,3;4
2026-04-06T03:11:03.045387,2031,3,1.0;1.0;1.0,2;3;3
2026-04-06T03:11:06.176385,2068,1,1.0,2
2026-04-06T03:11:06.503388,2072,1,1.0,2
2026-04-06T03:11:06.914388,2077,1,1.0,3
2026-04-06T03:11:07.244384,2081,1,1.0,2
2026-04-06T03:11:09.039389,2103,1,1.0,3
2026-04-06T03:11:09.678385,2111,1,1.0,3
2026-04-06T03:11:10.248383,2118,1,1.0,1
2026-04-06T03:11:12.027387,2139,1,1.0,2
2026-04-06T03:11:12.866387,2149,2,1.0;1.0,1;3
2026-04-06T03:11:13.190388,2153,1,1.0,1
2026-04-06T03:11:14.709391,2172,1,1.0,3
2026-04-06T03:11:14.952388,2175,2,1.0;1.0,4;3
2026-04-06T03:11:15.354387,2180,1,1.0,2
2026-04-06T03:11:15.609389,2183,1,1.0,2
2026-04-06T03:11:17.648388,2208,1,1.0,3
2026-04-06T03:11:17.924384,2209,1,1.0,3
2026-04-06T03:11:19.273385,2225,1,1.0,3
2026-04-06T03:11:20.465381,2240,1,1.0,3
2026-04-06T03:11:20.876386,2245,2,1.0;1.0,3;2
2026-04-06T03:11:22.464382,2264,1,1.0,3
2026-04-06T03:11:25.930384,2307,2,1.0;1.0,2;4
2026-04-06T03:11:26.087381,2309,1,1.0,2
2026-04-06T03:11:27.114384,2322,2,1.0;1.0,4;3
2026-04-06T03:11:27.596386,2328,1,1.0,2
2026-04-06T03:11:28.420388,2338,2,1.0;1.0,3;2
2026-04-06T03:11:29.020387,2345,1,1.0,3
2026-04-06T03:11:32.242387,2383,1,1.0,4
2026-04-06T03:11:33.070387,2393,1,1.0,3
2026-04-06T03:11:33.148385,2394,3,1.0;1.0;1.0,2;2;3
2026-04-06T03:11:34.952390,2416,1,1.0,2
2026-04-06T03:11:35.195382,2419,1,1.0,4
2026-04-06T03:11:35.760386,2426,1,1.0,3
2026-04-06T03:11:37.288384,2445,1,1.0,2
2026-04-06T03:11:41.596388,2498,1,1.0,3
2026-04-06T03:11:43.245387,2516,2,1.0;1.0,3;3
2026-04-06T03:11:43.324388,2517,2,1.0;1.0,2;4
2026-04-06T03:11:45.826388,2547,1,1.0,3
2026-04-06T03:11:46.155385,2551,1,1.0,2
2026-04-06T03:11:46.413385,2554,3,1.0;1.0;1.0,2;3;2
2026-04-06T03:11:49.411386,2591,1,1.0,2
2026-04-06T03:11:52.427381,2626,2,1.0;1.0,3;3
2026-04-06T03:11:52.994387,2633,3,1.0;1.0;1.0,2;3;2
2026-04-06T03:11:53.991382,2644,1,1.0,3
2026-04-06T03:11:54.326388,2648,1,1.0,3
2026-04-06T03:11:55.802381,2666,1,1.0,3
2026-04-06T03:11:56.367387,2673,1,1.0,3
2026-04-06T03:11:57.204385,2684,1,1.0,1
2026-04-06T03:11:58.352387,2698,1,1.0,4
2026-04-06T03:11:58.431385,2699,2,1.0;1.0,2;4
2026-04-06T03:12:03.912386,2761,2,1.0;1.0,4;2
2026-04-06T03:12:04.813383,2772,2,1.0;1.0,3;2
2026-04-06T03:12:05.065385,2775,1,1.0,4
2026-04-06T03:12:10.331386,2837,1,1.0,3
2026-04-06T03:12:10.919385,2843,3,1.0;1.0;1.0,3;1;3
2026-04-06T03:12:11.500384,2850,1,1.0,2
2026-04-06T03:12:13.173387,2870,1,1.0,3
2026-04-06T03:12:13.422389,2873,1,1.0,2
2026-04-06T03:12:15.360385,2896,2,1.0;1.0,2;4
2026-04-06T03:12:16.138384,2905,1,1.0,3
2026-04-06T03:12:19.011387,2935,1,1.0,2
2026-04-06T03:12:19.684388,2943,1,1.0,4
2026-04-06T03:12:20.601390,2954,1,1.0,4
2026-04-06T03:12:20.940384,2958,2,1.0;1.0,3;2
2026-04-06T03:12:21.458388,2964,1,1.0,2
2026-04-06T03:12:21.625387,2966,2,1.0;1.0,2;4
2026-04-06T03:12:22.403387,2975,1,1.0,2
2026-04-06T03:12:22.563384,2976,1,1.0,1
2026-04-06T03:12:23.172385,2982,2,1.0;1.0,4;2
2026-04-06T03:12:23.332386,2984,1,1.0,2
2026-04-06T03:12:23.659386,2988,3,1.0;1.0;1.0,2;4;3
2026-04-06T03:12:24.340388,2996,2,1.0;1.0,2;4
2026-04-06T03:12:26.678385,3024,2,1.0;1.0,3;3
2026-04-06T03:12:27.496388,3034,1,1.0,3
2026-04-06T03:12:27.910389,3039,1,1.0,2
2026-04-06T03:12:28.438386,3045,1,1.0,4
2026-04-06T03:12:28.920384,3051,2,1.0;1.0,3;1
2026-04-06T03:12:30.150389,3066,2,1.0;1.0,2;2
2026-04-06T03:12:31.163383,3075,2,1.0;1.0,4;3
2026-04-06T03:12:32.902390,3095,1,1.0,2
2026-04-06T03:12:35.828388,3129,1,1.0,2
2026-04-06T03:12:36.337386,3135,2,1.0;1.0,4;2
2026-04-06T03:12:36.680388,3139,1,1.0,4
2026-04-06T03:12:37.204386,3145,2,1.0;1.0,3;3
2026-04-06T03:12:37.447386,3148,1,1.0,1
2026-04-06T03:12:37.532385,3149,2,1.0;1.0,3;3
2026-04-06T03:12:38.040387,3155,2,1.0;1.0,1;4
2026-04-06T03:12:38.285387,3158,2,1.0;1.0,4;1
2026-04-06T03:12:39.211389,3169,1,1.0,4
2026-04-06T03:12:39.938389,3178,2,1.0;1.0,4;1
