timestamp,cycle,scale,scale_name,complexity,complexity_name,resonance_value,verified,verification_reason
2026-04-06T03:26:28.202383,3,1.0,слова,2,научный,0.819,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:28.262389,4,1.0,слова,4,метафорический,0.824,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:29.209387,19,1.0,слова,4,метафорический,0.836,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:29.656387,25,1.0,слова,3,ВММП,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:29.886388,28,1.0,слова,2,научный,0.811,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:30.585385,38,1.0,слова,2,научный,0.824,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:30.651382,39,1.0,слова,3,ВММП,0.831,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:31.871388,56,1.0,слова,2,научный,0.832,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:32.246385,61,1.0,слова,1,бытовой,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:32.864384,69,1.0,слова,3,ВММП,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:32.936382,70,1.0,слова,2,научный,0.817,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:33.372385,76,1.0,слова,1,бытовой,0.809,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:33.830384,82,1.0,слова,4,метафорический,0.824,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:34.122381,86,1.0,слова,2,научный,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:34.198388,87,1.0,слова,1,бытовой,0.825,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:35.077384,99,1.0,слова,2,научный,0.808,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:36.408384,117,1.0,слова,3,ВММП,0.826,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:36.937387,124,1.0,слова,2,научный,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:37.236386,128,1.0,слова,2,научный,0.815,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:38.631387,147,1.0,слова,3,ВММП,0.832,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:38.706381,148,1.0,слова,2,научный,0.818,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:38.899384,150,1.0,слова,2,научный,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:39.139385,153,1.0,слова,2,научный,0.834,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:39.291386,155,1.0,слова,2,научный,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:39.369387,156,1.0,слова,3,ВММП,0.823,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:39.447386,157,1.0,слова,4,метафорический,0.820,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:39.599388,159,1.0,слова,2,научный,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:40.214389,167,1.0,слова,3,ВММП,0.836,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:40.978381,178,1.0,слова,2,научный,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:41.499383,185,1.0,слова,2,научный,0.825,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:42.207384,195,1.0,слова,2,научный,0.821,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:42.354388,197,1.0,слова,4,метафорический,0.838,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:42.784388,203,1.0,слова,2,научный,0.819,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:45.866383,245,1.0,слова,2,научный,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:46.413384,252,1.0,слова,2,научный,0.822,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:47.048385,260,1.0,слова,2,научный,0.833,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:47.441385,265,1.0,слова,3,ВММП,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:48.468384,278,1.0,слова,1,бытовой,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:48.707387,281,1.0,слова,2,научный,0.820,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:50.877385,306,1.0,слова,4,метафорический,0.816,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:51.030382,308,1.0,слова,1,бытовой,0.818,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:51.306382,312,1.0,слова,2,научный,0.823,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:51.632384,317,1.0,слова,2,научный,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:52.109389,323,1.0,слова,2,научный,0.827,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:52.284386,326,1.0,слова,3,ВММП,0.827,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:53.926387,350,1.0,слова,2,научный,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:54.808386,361,1.0,слова,3,ВММП,0.838,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:55.032381,364,1.0,слова,3,ВММП,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:55.202385,366,1.0,слова,1,бытовой,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:55.529393,370,1.0,слова,2,научный,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:55.598386,371,1.0,слова,3,ВММП,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:55.822387,374,1.0,слова,2,научный,0.808,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:56.440388,382,1.0,слова,4,метафорический,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:56.827386,387,1.0,слова,2,научный,0.824,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:57.491386,396,1.0,слова,4,метафорический,0.816,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:59.581384,424,1.0,слова,4,метафорический,0.837,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:59.658382,425,1.0,слова,3,ВММП,0.829,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:26:59.717385,426,1.0,слова,1,бытовой,0.818,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:00.266381,434,1.0,слова,2,научный,0.812,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:00.504383,437,1.0,слова,2,научный,0.818,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:01.394388,447,1.0,слова,4,метафорический,0.818,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:01.775388,452,1.0,слова,1,бытовой,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:02.345387,460,1.0,слова,2,научный,0.831,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:02.958386,468,1.0,слова,3,ВММП,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:03.294390,472,1.0,слова,2,научный,0.808,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:04.008386,480,1.0,слова,2,научный,0.829,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:04.061388,481,1.0,слова,2,научный,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:04.605382,489,1.0,слова,2,научный,0.834,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:04.746382,491,1.0,слова,3,ВММП,0.814,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:06.151381,510,1.0,слова,2,научный,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:06.346391,513,1.0,слова,2,научный,0.828,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:06.451390,515,1.0,слова,3,ВММП,0.820,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:06.628388,518,1.0,слова,2,научный,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:07.288381,527,1.0,слова,4,метафорический,0.831,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:07.635384,532,1.0,слова,2,научный,0.832,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:08.102383,538,1.0,слова,3,ВММП,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:27:08.618381,545,1.0,слова,3,ВММП,0.825,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
